C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,120.0,913.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,250.0,30.0,1204.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,250.0,60.0,1202.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,250.0,90.0,1165.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,250.0,120.0,1061.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,350.0,30.0,972.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,350.0,60.0,968.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,350.0,90.0,959.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,350.0,120.0,955.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,300.0,30.0,979.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,300.0,60.0,965.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,300.0,90.0,962.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,300.0,120.0,953.0
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,250.0,30.0,1027.5
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,250.0,60.0,1021.4
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,250.0,90.0,995.8
3.54,2.33,0.013,0.03,0.044,0.24,0.14,0.51,0.001,0.02,0.0,0.0,0.0,0.0,98.34,11.54,90.59700000000001,81.09199999999993,18.035999999999994,732.0,7.14,15.41,910.0,60.0,250.0,120.0,998.6
