C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,70.0,1114.0
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,55.0,1091.0
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,40.0,1013.0
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,40.0,1372.0
3.58,1.95,0.01,0.02,0.046,0.18,0.38,1.08,0.18,0.11999999999999993,0.3174600000000003,0.005459000000000009,0.047400000000000005,0.0031500000000000018,250.0,11.839299999999998,100.0,83.19800000000004,17.036999999999992,583.4690999999997,7.1183000000000085,10.0,920.0,60.0,280.0,120.0,1597.0
3.58,1.95,0.01,0.02,0.046,0.18,0.38,1.08,0.18,0.11999999999999993,0.3174600000000003,0.005459000000000009,0.047400000000000005,0.0031500000000000018,250.0,11.839299999999998,100.0,83.19800000000004,17.036999999999992,583.4690999999997,7.1183000000000085,10.0,900.0,60.0,360.0,90.0,1113.0
3.4,2.77,0.01,0.01,0.04,0.45,1.43,1.17,0.18,0.12224999999999994,0.31867,0.007360000000000011,0.034800000000000025,0.010250000000000007,137.0,10.695,80.0,94.376,10.66,729.99,4.391799999999998,10.0,920.0,60.0,280.0,120.0,1450.0
3.4,2.77,0.01,0.01,0.04,0.45,1.43,1.17,0.18,0.12224999999999994,0.31867,0.007360000000000011,0.034800000000000025,0.010250000000000007,137.0,10.695,80.0,94.376,10.66,729.99,4.391799999999998,10.0,900.0,60.0,360.0,90.0,1133.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,120.0,870.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,120.0,789.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,120.0,765.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,120.0,790.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,120.0,1024.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,120.0,956.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,120.0,904.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,120.0,1390.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,120.0,1332.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,120.0,1358.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,90.0,883.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,360.0,90.0,909.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,90.0,1195.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,90.0,1182.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,300.0,90.0,1195.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,90.0,1312.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,90.0,1299.0
3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,0.011800000000000007,0.014619999999999984,0.0033840000000000025,0.015240000000000009,0.0026600000000000018,150.0,12.419299999999998,99.9,81.99499999999996,15.234000000000002,594.7316166666665,6.861200000000009,25.0,900.0,120.0,260.0,90.0,1247.0
3.39,2.56,0.012,0.015,0.04,0.37,0.0,0.29,0.25,0.29820000000000046,3.5221899999999984,0.003995000000000003,0.034800000000000025,0.13910000000000006,104.0,12.0,70.3,40.9,59.1,413.39700000000005,26.150999999999986,10.0,870.0,120.0,375.0,120.0,1000.0
3.52,2.64,0.013,0.007,0.04,0.67,0.0,0.25,0.25,0.29820000000000046,3.5221899999999984,0.003995000000000003,0.034800000000000025,0.13910000000000006,102.0,12.0,67.2,54.5,45.5,412.417,26.150999999999986,10.0,870.0,120.0,375.0,120.0,960.0
3.48,2.51,0.012,0.016,0.04,0.56,0.0,0.31,0.15,0.29820000000000046,3.380769999999998,0.004037000000000002,0.034800000000000025,0.13910000000000006,130.0,12.0,71.9,51.0,49.0,423.6080000000002,12.872999999999996,10.0,870.0,120.0,375.0,120.0,1154.0
3.5,2.32,0.015,0.018,0.04,0.59,0.0,0.29,0.33,0.12124999999999987,0.3151600000000002,0.004014000000000003,0.034800000000000025,0.005070000000000003,230.0,12.0,83.3,18.2,81.8,437.2380000000002,12.872999999999998,10.0,870.0,120.0,375.0,120.0,1161.0
3.6,2.4,0.01,0.08,0.06,0.2,1.5,0.8,0.2,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,950.0,90.0,360.0,90.0,844.0
