C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,300.0,60.0,133.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,300.0,120.0,142.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,300.0,180.0,103.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,325.0,60.0,108.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,325.0,120.0,89.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,325.0,180.0,106.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,350.0,60.0,63.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,350.0,120.0,53.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,350.0,180.0,43.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,300.0,60.0,57.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,300.0,120.0,76.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,300.0,180.0,64.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,356.0,60.0,112.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,356.0,120.0,126.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,356.0,180.0,132.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,300.0,60.0,80.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,300.0,120.0,71.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,300.0,180.0,76.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,359.0,60.0,120.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,359.0,120.0,130.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,359.0,180.0,134.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,363.0,60.0,102.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,363.0,120.0,121.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,363.0,180.0,110.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,300.0,60.0,92.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,300.0,120.0,95.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,300.0,180.0,76.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,300.0,180.0,43.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,350.0,120.0,142.0
3.62,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,300.0,180.0,64.0
3.62,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.012160000000000006,0.01469999999999999,0.11465000000000015,0.0,0.0026300000000000013,110.0,10.695,90.0,91.05,10.18,815.0,4.27,20.88200000000001,900.0,90.0,356.0,180.0,132.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,300.0,180.0,76.0
3.56,2.63,0.01,0.025,0.047,0.15,0.45,0.44,0.0,0.04170000000000001,0.015409999999999984,0.005613000000000004,0.0,0.0030000000000000014,150.0,10.525,90.0,80.183,18.786000000000005,735.0,4.49,18.375,900.0,90.0,356.0,180.0,134.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,300.0,180.0,76.0
3.58,2.57,0.007,0.048,0.043,0.34,0.45,0.46,0.19,0.3000000000000005,2.1934799999999983,0.018403999999999997,0.0,0.003230000000000002,200.0,10.515,90.0,80.91,18.78100000000001,785.0,2.81,25.100000000000044,900.0,90.0,363.0,120.0,121.0
3.575,2.515,0.0125,0.031,0.0415,0.2,0.52,0.64,0.15,0.29820000000000046,2.3483099999999983,0.007035000000000008,0.0,0.14370000000000005,77.5,12.17,75.0,97.43,10.03,747.797,7.938699999999995,19.86,900.0,90.0,300.0,180.0,130.0
3.575,2.515,0.0125,0.031,0.0415,0.2,0.52,0.64,0.15,0.29820000000000046,2.3483099999999983,0.007035000000000008,0.0,0.14370000000000005,77.5,12.17,75.0,97.43,10.03,747.797,7.938699999999995,19.86,900.0,90.0,360.0,120.0,146.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,30.0,17.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,60.0,45.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,120.0,60.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,180.0,71.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,240.0,68.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,315.0,360.0,65.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,350.0,30.0,25.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,350.0,60.0,70.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,350.0,120.0,110.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,350.0,180.0,115.0
3.5,2.5,0.01,0.027,0.03,0.25,1.1,0.6,0.23,0.3000000000000005,1.6964299999999994,0.007827000000000008,0.0,0.010730000000000009,104.07,10.685,79.92,98.43,10.12,741.45,4.260699999999995,21.35,900.0,120.0,350.0,240.0,111.0
